period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Textielbewerkers,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bouwberoepen,Bouwvakkers,9937
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bouwberoepen,Bouwtechnici,2008
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Industriële technici,1575
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,1301
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,986
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,802
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Professionals in de metaalindustrie,628
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bouwberoepen,Machinisten en kraanmannen,558
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Transport- en logistieke beroepen,Bestuurders in het wegtransport,436
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Transport- en logistieke beroepen,Transport- en logistiek personeel,425
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Medewerkers houtindustrie,357
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",344
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Handels- en verkoopberoepen,Vertegenwoordigers,259
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Handels- en verkoopberoepen,Verkooppersoneel,221
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Technisch leidinggevenden,196
